USER ID,USERNAME,TIME,PAGE VIEWED
27,mem1,12:56:48 pm,/dh/
27,mem1,12:56:56 pm,/dh/
27,mem1,12:57:00 pm,/dh/news/
27,mem1,12:57:01 pm,/dh/news/favicon.ico
27,mem1,12:57:02 pm,/dh/news/favicon.ico
27,mem1,12:57:07 pm,/dh/news/favicon.ico
27,mem1,12:57:10 pm,/dh/index.html
27,mem1,12:57:58 pm,/dh/software/games/3doku_for_mac_os_x.html
27,mem1,12:59:15 pm,/dh/index.html
27,mem1,12:59:25 pm,/dh/software/audio/cd_burners/
27,mem1,01:25:47 pm,/dh/software/developement_tools/
27,mem1,01:25:49 pm,/dh/software/developement_tools/
27,mem1,02:15:14 pm,/dh/
27,mem1,02:15:22 pm,/dh/publisher.html
27,mem1,02:15:38 pm,/dh/publisher.html
27,mem1,02:18:43 pm,/dh/software/
27,mem1,02:20:36 pm,/dh/software/
